Customer ID,Total_Revenue,Total_Orders,First_Purchase,Last_Purchase,Lifespan_Days,Avg_Order_Value,Purchase_Freq_Mo,CLV_12M,CLV_Segment
12346.0,77556.46,12,2009-12-14 08:34:00,2011-01-18 10:01:00,401,6463.038333333334,0.8977556109725685,69626.74713216958,Premium
12347.0,4921.53,8,2010-10-31 14:20:00,2011-12-07 15:52:00,403,615.19125,0.5955334987593052,4396.403970223325,Premium
12348.0,2019.4,5,2010-09-27 14:59:00,2011-09-25 13:13:00,363,403.88,0.4132231404958678,2002.7107438016528,Medium Value
12349.0,4428.69,4,2010-04-29 13:20:00,2011-11-21 09:51:00,571,1107.1725,0.21015761821366022,2792.1688266199644,High Value
12350.0,334.4,1,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,1.0,4012.7999999999997,High Value
12351.0,300.93,1,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,1.0,3611.16,High Value
12352.0,2849.84,10,2010-11-12 10:20:00,2011-11-03 14:37:00,357,284.98400000000004,0.8403361344537815,2873.7882352941183,High Value
12353.0,406.76,2,2010-10-27 12:44:00,2011-05-19 17:47:00,205,203.38,0.29268292682926833,714.3102439024391,Low Value
12354.0,1079.4,1,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,1.0,12952.800000000001,Premium
12355.0,947.61,2,2010-05-21 11:59:00,2011-05-09 13:49:00,354,473.805,0.1694915254237288,963.671186440678,Low Value
12356.0,6371.73,6,2010-10-11 09:42:00,2011-11-17 08:40:00,402,1061.955,0.44776119402985076,5706.026865671642,Premium
12357.0,18287.66,3,2010-11-16 10:05:00,2011-11-06 16:07:00,356,6095.886666666666,0.25280898876404495,18493.139325842698,Premium
12358.0,3887.07,5,2009-12-08 07:59:00,2011-12-08 10:26:00,731,777.414,0.2051983584131327,1914.2889192886457,Medium Value
12359.0,8873.39,10,2009-12-05 13:32:00,2011-10-13 12:47:00,677,887.3389999999999,0.4431314623338257,4718.493943870015,Premium
12360.0,4252.89,8,2010-02-22 09:32:00,2011-10-18 15:22:00,604,531.61125,0.3973509933774835,2534.835099337749,High Value
12361.0,511.25,4,2010-01-26 14:37:00,2011-02-25 13:51:00,395,127.8125,0.3037974683544304,465.9493670886076,Low Value
12362.0,5356.23,11,2009-12-01 10:10:00,2011-12-06 15:40:00,736,486.92999999999995,0.4483695652173913,2619.8951086956517,High Value
12363.0,552.0,2,2011-04-11 13:29:00,2011-08-22 10:18:00,133,276.0,0.45112781954887216,1494.1353383458645,Medium Value
12364.0,1313.1,4,2011-08-19 15:24:00,2011-12-02 10:22:00,105,328.275,1.1428571428571428,4502.057142857142,Premium
12365.0,641.38,2,2011-02-21 13:51:00,2011-02-21 14:04:00,1,320.69,2.0,7696.5599999999995,Premium
12366.0,500.24,1,2010-03-16 10:28:00,2010-03-16 10:28:00,1,500.24,1.0,6002.88,Premium
12367.0,168.9,1,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,1.0,2026.8000000000002,Medium Value
12368.0,917.6999999999999,1,2010-03-21 15:56:00,2010-03-21 15:56:00,1,917.6999999999999,1.0,11012.4,Premium
12369.0,1791.15,3,2010-03-08 08:09:00,2010-10-22 13:13:00,229,597.0500000000001,0.3930131004366812,2815.7816593886464,High Value
12370.0,4316.56,7,2010-02-09 09:41:00,2011-10-19 14:51:00,618,616.6514285714286,0.3398058252427184,2514.500970873786,High Value
12371.0,4067.38,5,2010-03-04 18:23:00,2011-10-26 10:16:00,601,813.476,0.24958402662229615,2436.3673876871876,High Value
12372.0,1298.04,3,2011-02-16 12:46:00,2011-09-29 12:12:00,225,432.68,0.4,2076.864,Medium Value
12373.0,1127.65,3,2010-02-04 12:08:00,2011-02-01 13:10:00,363,375.8833333333334,0.24793388429752067,1118.3305785123969,Low Value
12374.0,2989.2200000000003,4,2010-04-30 14:01:00,2011-11-14 15:37:00,564,747.3050000000001,0.2127659574468085,1908.012765957447,Medium Value
12375.0,457.5,2,2011-09-02 14:23:00,2011-11-29 10:36:00,88,228.75,0.6818181818181819,1871.590909090909,Medium Value
12376.0,503.15,2,2010-10-18 08:42:00,2010-11-15 12:15:00,29,251.575,2.0,6037.799999999999,Premium
